keywords,articleID,pubDate
Football,58927e0495d0e0392607e1b3,2017-02-02 00:26:16
Super Bowl,58927e0495d0e0392607e1b3,2017-02-02 00:26:16
National Football League,58927e0495d0e0392607e1b3,2017-02-02 00:26:16
New England Patriots,58927e0495d0e0392607e1b3,2017-02-02 00:26:16
Goodell Roger,58927e0495d0e0392607e1b3,2017-02-02 00:26:16
Lady Gaga,58927e0495d0e0392607e1b3,2017-02-02 00:26:16
Immigration and Emigration,58927e0495d0e0392607e1b3,2017-02-02 00:26:16
Trump Donald J,58927e0495d0e0392607e1b3,2017-02-02 00:26:16
Television,5893033d95d0e0392607e2d6,2017-02-02 10:00:24
Home Box Office,5893033d95d0e0392607e2d6,2017-02-02 10:00:24
Girls (TV Program),5893033d95d0e0392607e2d6,2017-02-02 10:00:24
Dunham Lena,5893033d95d0e0392607e2d6,2017-02-02 10:00:24
Mamet Zosia,5893033d95d0e0392607e2d6,2017-02-02 10:00:24
Kirke Jemima,5893033d95d0e0392607e2d6,2017-02-02 10:00:24
Williams Allison (1988- ),5893033d95d0e0392607e2d6,2017-02-02 10:00:24
Women and Girls,5893033d95d0e0392607e2d6,2017-02-02 10:00:24
Writing and Writers,5893033d95d0e0392607e2d6,2017-02-02 10:00:24
Movies,5893039595d0e0392607e2da,2017-02-02 10:01:53
The Comedian (Movie),5893039595d0e0392607e2da,2017-02-02 10:01:53
De Niro Robert,5893039595d0e0392607e2da,2017-02-02 10:01:53
Hackford Taylor,5893039595d0e0392607e2da,2017-02-02 10:01:53
Falco Edie,5893039595d0e0392607e2da,2017-02-02 10:01:53
New York City,5893109995d0e0392607e2ef,2017-02-02 10:57:25
Groundhogs,5893109995d0e0392607e2ef,2017-02-02 10:57:25
Travel and Vacations,5893114495d0e0392607e2f1,2017-02-02 11:00:03
Swimming,5893114495d0e0392607e2f1,2017-02-02 11:00:03
Oceans and Seas,5893114495d0e0392607e2f1,2017-02-02 11:00:03
Hawaii,5893114495d0e0392607e2f1,2017-02-02 11:00:03
Crossword Puzzles,5892a0d995d0e0392607e1fb,2017-02-02 03:00:33
Trump Donald J,5892ec0795d0e0392607e28c,2017-02-02 08:21:23
Mexico,5892ec0795d0e0392607e28c,2017-02-02 08:21:23
Border Barriers,5892ec0795d0e0392607e28c,2017-02-02 08:21:23
Illegal Immigration,5892ec0795d0e0392607e28c,2017-02-02 08:21:23
Pena Nieto Enrique,5892ec0795d0e0392607e28c,2017-02-02 08:21:23
United States International Relations,5892ec0795d0e0392607e28c,2017-02-02 08:21:23
Trump Donald J,5892ec0795d0e0392607e28f,2017-02-02 08:21:23
Supreme Court (US),5892ec0795d0e0392607e28f,2017-02-02 08:21:23
Pence Mike,5892ec0795d0e0392607e28f,2017-02-02 08:21:23
Gorsuch Neil M,5892ec0795d0e0392607e28f,2017-02-02 08:21:23
United States Politics and Government,5892ec0795d0e0392607e28f,2017-02-02 08:21:23
United States Politics and Government,5892ec0795d0e0392607e28e,2017-02-02 08:21:23
Appointments and Executive Changes,5892ec0795d0e0392607e28e,2017-02-02 08:21:23
Supreme Court (US),5892ec0795d0e0392607e28e,2017-02-02 08:21:23
Gorsuch Neil M,5892ec0795d0e0392607e28e,2017-02-02 08:21:23
Presidential Election of 2016,5892f5be95d0e0392607e2ac,2017-02-02 09:02:47
Income Inequality,5892f5be95d0e0392607e2ac,2017-02-02 09:02:47
Center for American Progress,5892f5be95d0e0392607e2ac,2017-02-02 09:02:47
Trump Donald J,5892f5be95d0e0392607e2ac,2017-02-02 09:02:47
Foreign Students (in US),5893032995d0e0392607e2c8,2017-02-02 10:00:04
China,5893032995d0e0392607e2c8,2017-02-02 10:00:04
Education (K-12),5893032995d0e0392607e2c8,2017-02-02 10:00:04
Michigan,5893032995d0e0392607e2c8,2017-02-02 10:00:04
Weiming Education Group,5893032995d0e0392607e2c8,2017-02-02 10:00:04
Cooking and Cookbooks,5893032b95d0e0392607e2cd,2017-02-02 10:00:04
Eggs,5893032b95d0e0392607e2cd,2017-02-02 10:00:04
Recipes,5893032b95d0e0392607e2cd,2017-02-02 10:00:04
Chinese-Americans,5893032b95d0e0392607e2cd,2017-02-02 10:00:04
News,5893606395d0e0392607e3e4,2017-02-02 16:34:32
Immigration and Emigration,5893606395d0e0392607e3e4,2017-02-02 16:34:32
Muslims and Islam,5893606395d0e0392607e3e4,2017-02-02 16:34:32
Politics and Government,5893606395d0e0392607e3e4,2017-02-02 16:34:32
United States International Relations,5893606395d0e0392607e3e4,2017-02-02 16:34:32
Harvard University,5893606395d0e0392607e3e4,2017-02-02 16:34:32
Middle East,5893606395d0e0392607e3e4,2017-02-02 16:34:32
United States Politics and Government,58934e4995d0e0392607e397,2017-02-02 15:20:32
Trump Donald J,58934e4995d0e0392607e397,2017-02-02 15:20:32
Religion-State Relations,58934e4995d0e0392607e397,2017-02-02 15:20:32
Law and Legislation,58934e4995d0e0392607e397,2017-02-02 15:20:32
Police Brutality Misconduct and Shootings,5893536c95d0e0392607e3ac,2017-02-02 15:42:19
de Blasio Bill,5893536c95d0e0392607e3ac,2017-02-02 15:42:19
