keywords,articleID,pubDate
United States Politics and Government,58691a5795d0e039260788b9,2017-01-01 15:03:38
Law and Legislation,58691a5795d0e039260788b9,2017-01-01 15:03:38
House of Representatives,58691a5795d0e039260788b9,2017-01-01 15:03:38
Senate,58691a5795d0e039260788b9,2017-01-01 15:03:38
Patient Protection and Affordable Care Act (2010),58691a5795d0e039260788b9,2017-01-01 15:03:38
Trump Donald J,58691a5795d0e039260788b9,2017-01-01 15:03:38
McConnell Mitch,58691a5795d0e039260788b9,2017-01-01 15:03:38
Obama Barack,586967bf95d0e03926078915,2017-01-01 20:34:00
Afghanistan,586967bf95d0e03926078915,2017-01-01 20:34:00
United States Defense and Military Forces,586967bf95d0e03926078915,2017-01-01 20:34:00
Afghanistan War (2001-14),586967bf95d0e03926078915,2017-01-01 20:34:00
Crossword Puzzles,58698a1095d0e0392607894a,2017-01-01 23:00:24
Boxing Day,58698a1095d0e0392607894a,2017-01-01 23:00:24
Holidays and Special Occasions,58698a1095d0e0392607894a,2017-01-01 23:00:24
Cyberwarfare and Defense,5869911a95d0e0392607894e,2017-01-01 23:30:27
Presidential Election of 2016,5869911a95d0e0392607894e,2017-01-01 23:30:27
Merkel Angela,5869911a95d0e0392607894e,2017-01-01 23:30:27
Putin Vladimir V,5869911a95d0e0392607894e,2017-01-01 23:30:27
Shoes and Boots,5869a61795d0e03926078962,2017-01-02 01:00:02
Buses,5869a61795d0e03926078962,2017-01-02 01:00:02
New York City,5869a61795d0e03926078962,2017-01-02 01:00:02
Coaches and Managers,5869afd495d0e0392607896c,2017-01-02 01:41:34
Education (K-12),5869afd495d0e0392607896c,2017-01-02 01:41:34
Navajo Indians,5869afd495d0e0392607896c,2017-01-02 01:41:34
Interscholastic Athletics,5869afd495d0e0392607896c,2017-01-02 01:41:34
Arizona,5869afd495d0e0392607896c,2017-01-02 01:41:34
Mendoza Raul (1947- ),5869afd495d0e0392607896c,2017-01-02 01:41:34
Chinle (Ariz),5869afd495d0e0392607896c,2017-01-02 01:41:34
Television,5869d08f95d0e03926078980,2017-01-02 04:01:12
The Affair (TV Program),5869d08f95d0e03926078980,2017-01-02 04:01:12
Trump Donald J,586a0d8795d0e039260789b3,2017-01-02 08:21:21
Son Masayoshi,586a0d8795d0e039260789b3,2017-01-02 08:21:21
Wireless Communications,586a0d8795d0e039260789b3,2017-01-02 08:21:21
SOFTBANK Corporation,586a0d8795d0e039260789b3,2017-01-02 08:21:21
Sprint Nextel Corporation,586a0d8795d0e039260789b3,2017-01-02 08:21:21
Labor and Jobs,586a0d8795d0e039260789b3,2017-01-02 08:21:21
United States Politics and Government,586a0d8795d0e039260789b3,2017-01-02 08:21:21
Carrier Corp,586a0d8795d0e039260789b3,2017-01-02 08:21:21
Trump Donald J,586a0d8795d0e039260789b6,2017-01-02 08:21:21
United States Politics and Government,586a0d8795d0e039260789b6,2017-01-02 08:21:21
Ethics and Official Misconduct,586a0d8795d0e039260789b6,2017-01-02 08:21:21
Corruption (Institutional),586a0d8795d0e039260789b6,2017-01-02 08:21:21
Conflicts of Interest,586a0d8795d0e039260789b6,2017-01-02 08:21:21
Appointments and Executive Changes,586a0d8795d0e039260789b6,2017-01-02 08:21:21
Democracy (Theory and Philosophy),586a0d8795d0e039260789b6,2017-01-02 08:21:21
Comey James B,586a0d8795d0e039260789b6,2017-01-02 08:21:21
Adams Eric L,586a32f495d0e039260789f3,2017-01-02 11:01:03
Diabetes,586a32f495d0e039260789f3,2017-01-02 11:01:03
Diet and Nutrition,586a32f495d0e039260789f3,2017-01-02 11:01:03
Exercise,586a32f495d0e039260789f3,2017-01-02 11:01:03
Obesity,586a32f495d0e039260789f3,2017-01-02 11:01:03
Veganism,586a32f495d0e039260789f3,2017-01-02 11:01:03
Transgender and Transsexuals,586a4a2a95d0e03926078a0f,2017-01-02 12:40:04
Mr C,586a4a2a95d0e03926078a0f,2017-01-02 12:40:04
Discrimination,586a4a2a95d0e03926078a0f,2017-01-02 12:40:04
Suits and Litigation (Civil),586a4a2a95d0e03926078a0f,2017-01-02 12:40:04
Guizhou (China),586a4a2a95d0e03926078a0f,2017-01-02 12:40:04
China,586a4a2a95d0e03926078a0f,2017-01-02 12:40:04
Cryotherapy,586a518a95d0e03926078a18,2017-01-02 13:11:34
Tissue (Human),586a518a95d0e03926078a18,2017-01-02 13:11:34
Doping (Sports),586ad1fa95d0e03926078ac7,2017-01-02 22:19:33
Baseball,586ad1fa95d0e03926078ac7,2017-01-02 22:19:33
