id,keywords,count
0,Trump Donald J,261
1,United States Politics and Government,212
2,New York City,50
3,Crossword Puzzles,45
4,Immigration and Emigration,42
5,Republican Party,41
6,United States International Relations,34
7,Senate,30
8,Refugees and Displaced Persons,30
9,New York Times,30
10,Executive Orders and Memorandums,29
11,Theater,28
12,Russia,27
13,News and News Media,26
14,Labor and Jobs,25
15,Education (K-12),24
16,Movies,24
17,Presidential Election of 2016,23
18,Appointments and Executive Changes,23
19,Restaurants,23
20,United States Economy,22
21,House of Representatives,22
22,Women and Girls,22
23,Patient Protection and Affordable Care Act (2010),22
24,Health Insurance and Managed Care,21
25,Cooking and Cookbooks,21
26,Illegal Immigration,20
27,Television,19
28,China,19
29,Politics and Government,19
30,Blacks,18
31,Demonstrations Protests and Riots,18
32,United States Defense and Military Forces,17
33,Bannon Stephen K,17
34,Democratic Party,16
35,Photography,16
36,Sessions Jefferson B III,15
37,Supreme Court (US),15
38,Colleges and Universities,14
39,Obama Barack,14
40,Travel and Vacations,14
41,Justice Department,13
42,DeVos Elizabeth (1958- ),13
43,Newspapers,13
44,Discrimination,12
45,Flynn Michael T,12
46,Deportation,12
47,Cyberwarfare and Defense,11
48,Law and Legislation,11
49,Social Media,11
50,Basketball,10
51,United States,10
52,Baseball,10
53,Education Department (US),10
54,Israel,10
55,Putin Vladimir V,10
56,Gorsuch Neil M,10
57,Regulation and Deregulation of Industry,10
58,Transgender and Transsexuals,9
59,Race and Ethnicity,9
60,News,9
61,Espionage and Intelligence Services,9
62,Mexico,9
63,Courts and the Judiciary,9
64,Children and Childhood,9
65,Vietnam,8
66,Real Estate and Housing (Residential),8
67,Super Bowl,8
68,Terrorism,8
69,Exercise,8
70,International Trade and World Market,8
71,Parenting,8
72,California,8
73,Abortion,8
74,Speeches and Statements,8
75,Conservatism (US Politics),8
76,Palestinians,7
77,Environmental Protection Agency,7
78,Elderly,7
79,Vietnam War,7
80,France,7
81,Slavery (Historical),7
82,Pregnancy and Childbirth,7
83,Disabilities,7
84,Academy Awards (Oscars),7
85,Women's Rights,7
86,Netanyahu Benjamin,7
87,Subways,7
88,Decisions and Verdicts,7
89,Washington (DC),7
90,Social Conditions and Trends,7
91,Suits and Litigation (Civil),7
92,National Security Council,7
93,Banking and Financial Institutions,7
94,Marriages,7
95,Immigration and Customs Enforcement (US),7
96,Robart James L,7
97,Wines,7
98,Taxation,6
99,Great Britain Withdrawal from EU (Brexit),6
100,Foreign Workers,6
101,Research,6
102,New York Knicks,6
103,Diet and Nutrition,6
104,Books and Literature,6
105,Historic Buildings and Sites,6
106,Canada,6
107,Presidents and Presidency (US),6
108,Drugs (Pharmaceuticals),6
109,Soccer,6
110,Families and Family Life,6
111,Bathrooms and Toilets,6
112,Ethics (Personal),6
113,New England Patriots,6
114,Philosophy,6
115,Fringe Groups and Movements,6
116,Federal Budget (US),6
117,Income Inequality,5
118,Manhattan (NYC),5
119,Underground Railroad (19th Century),5
120,Art,5
121,Ryan Paul D Jr,5
122,Defense Department,5
123,Warren Elizabeth,5
124,Factories and Manufacturing,5
125,Computers and the Internet,5
126,Tax Credits Deductions and Exemptions,5
127,Vouchers,5
128,Human Rights and Human Rights Violations,5
129,Retirement,5
130,McConnell Mitch,5
131,Love (Emotion),5
132,Wages and Salaries,5
133,Greenhouse Gas Emissions,5
134,State Department,5
135,Major League Baseball,5
136,Dodd-Frank Wall Street Reform and Consumer Protection Act (2010),5
137,Dating and Relationships,5
138,Recipes,5
139,Football,5
140,Priebus Reince R,5
141,Freedom of Speech and Expression,4
142,Pruitt Scott,4
143,Charter Schools,4
144,Science and Technology,4
145,Death and Dying,4
146,Medicine and Health,4
147,Dementia,4
148,Jews and Judaism,4
149,Poetry and Poets,4
150,Stocks and Bonds,4
151,Roman Catholic Church,4
152,Brain,4
153,Brady Tom,4
154,The Walking Dead (TV Program),4
155,Police Brutality Misconduct and Shootings,4
156,Classified Information and State Secrets,4
157,Canby William Cameron Jr,4
158,Global Warming,4
159,Prisons and Prisoners,4
160,Space and Astronomy,4
161,Agriculture and Farming,4
162,Francis,4
163,Alzheimer's Disease,4
164,Lying,4
165,de Blasio Bill,4
166,Medicaid,4
167,Anti-Semitism,4
168,Frauds and Swindling,4
169,Israeli Settlements,4
170,Elections,4
171,Trump Melania,4
172,Friedland Michelle Taryn,4
173,Prices (Fares Fees and Rates),4
174,Twitter,4
175,Private and Sectarian Schools,4
176,Heart,4
177,Muslims and Islam,4
178,Xi Jinping,4
179,Yiannopoulos Milo,4
180,Civil Rights and Liberties,4
181,Sleep,4
182,Clinton Hillary Rodham,4
183,Poverty,4
184,North Korea,4
185,Clifton Richard Randall,4
186,Embargoes and Sanctions,4
187,Rumors and Misinformation,4
188,Psychology and Psychologists,4
189,Weight,4
190,Miller Stephen (1985- ),4
191,For-Profit Schools,4
192,Flynn Michael G (1983- ),4
193,Le Pen Marine,3
194,Breast Cancer,3
195,World War II (1939-45),3
196,Homosexuality and Bisexuality,3
197,New York State,3
198,Conservative Political Action Conference,3
199,Writing and Writers,3
200,Price Thomas E (1954- ),3
201,Iran,3
202,Hidden Figures (Movie),3
203,Fashion and Apparel,3
204,Mar-a-Lago (Palm Beach Fla),3
205,Homeless Persons,3
206,Arizona,3
207,Tests (Medical),3
208,Clinical Trials,3
209,Whites,3
210,Pence Mike,3
211,Teenagers and Adolescence,3
212,Floods,3
213,Nuclear Weapons,3
214,Hormones,3
215,Trump Tower (Manhattan NY),3
216,vis-photo,3
217,Freedom of the Press,3
218,Animal Abuse Rights and Welfare,3
219,Music,3
220,Kushner Jared,3
221,States (US),3
222,Europe,3
223,Running,3
