,index,keywords
0,Trump Donald J,241
1,United States Politics and Government,185
2,New York City,49
3,Republican Party,46
4,Crossword Puzzles,40
5,Obama Barack,37
6,United States International Relations,37
7,News and News Media,32
8,Women and Girls,32
9,Patient Protection and Affordable Care Act (2010),31
10,Health Insurance and Managed Care,29
11,Presidential Election of 2016,27
12,Immigration and Emigration,26
13,New York Times,26
14,Theater,24
15,News,24
16,Senate,23
17,China,23
18,Democratic Party,22
19,Appointments and Executive Changes,22
20,Photography,21
21,Labor and Jobs,21
22,United States,21
23,Demonstrations Protests and Riots,20
24,Inaugurations,20
25,Russia,20
26,Blacks,19
27,International Trade and World Market,18
28,Refugees and Displaced Persons,16
29,Football,16
30,Children and Childhood,16
31,Restaurants,16
32,Education (K-12),16
33,United States Economy,16
34,Discrimination,15
35,House of Representatives,15
36,Putin Vladimir V,15
37,Executive Orders and Memorandums,15
38,Computers and the Internet,14
39,Television,14
40,Cooking and Cookbooks,13
41,Espionage and Intelligence Services,13
42,Families and Family Life,13
43,Supreme Court (US),12
44,Mexico,12
45,United States Defense and Military Forces,12
46,Travel and Vacations,11
47,Colleges and Universities,11
48,Politics and Government,11
49,Cyberwarfare and Defense,11
50,Muslims and Islam,11
51,Soccer,10
52,Social Media,10
53,Conflicts of Interest,10
54,Research,10
55,Presidents and Presidency (US),9
56,Women's Rights,9
57,Clinton Hillary Rodham,9
58,Justice Department,9
59,Parenting,9
60,Twitter,8
61,Psychology and Psychologists,8
62,Real Estate and Housing (Residential),8
63,Movies,8
64,Elderly,8
65,Exercise,8
66,National Football League,8
67,Economic Conditions and Trends,7
68,Sessions Jefferson B III,7
69,Books and Literature,7
70,Facebook Inc,7
71,Diet and Nutrition,7
72,Ethics and Official Misconduct,7
73,Birth Control and Family Planning,7
74,Gorsuch Neil M,7
75,Islamic State in Iraq and Syria (ISIS),6
76,DeVos Elizabeth (1958- ),6
77,Great Britain,6
78,Terrorism,6
79,Attorneys General,6
80,Classified Information and State Secrets,6
81,Basketball,6
82,Baseball,6
83,Speeches and Statements,6
84,BuzzFeed Inc,6
85,Law and Legislation,6
86,Bannon Stephen K,6
87,Pena Nieto Enrique,6
88,Drug Abuse and Traffic,6
89,European Union,6
90,Murders Attempted Murders and Homicides,6
91,Frauds and Swindling,6
92,Poetry and Poets,6
93,The Affair (TV Program),5
94,Cuomo Andrew M,5
95,Polls and Public Opinion,5
96,Rumors and Misinformation,5
97,Abortion,5
98,Native Americans,5
99,Playoff Games,5
100,Office of Congressional Ethics,5
101,Subways,5
102,Philosophy,5
103,de Blasio Bill,5
104,Contests and Prizes,5
105,Great Britain Withdrawal from EU (Brexit),5
106,Allergies,5
107,Under the Radar Festival,5
108,Personal Finances,5
109,Customs (Tariff),5
110,Washington (DC),5
111,Meditation,5
112,Tennis,5
113,California,5
114,Smartphones,5
115,Unemployment,5
116,Manhattan (NYC),5
117,Vietnam War,5
118,Ethics (Personal),5
119,Homosexuality and Bisexuality,5
120,Regulation and Deregulation of Industry,5
121,Planned Parenthood Federation of America,5
122,Transgender and Transsexuals,5
123,Keystone Pipeline System,4
124,Newspapers,4
125,Taxation,4
126,WikiLeaks,4
127,Child Abuse and Neglect,4
128,Art,4
129,Stadiums and Arenas,4
130,Syria,4
131,New York State,4
132,Doctors,4
133,Israel,4
134,Anthony Carmelo,4
135,Human Rights and Human Rights Violations,4
136,Chefs,4
137,Wines,4
138,Suits and Litigation (Civil),4
139,Pregnancy and Childbirth,4
140,Banking and Financial Institutions,4
141,Global Warming,4
142,New York Knicks,4
143,Prices (Fares Fees and Rates),4
144,Football (College),4
145,Halls of Fame,4
146,Writing and Writers,4
147,Police Brutality Misconduct and Shootings,4
148,Illegal Immigration,4
149,Muslim Americans,4
150,Income Inequality,4
151,North Atlantic Treaty Organization,4
152,May Theresa M,4
153,Hospitals,4
154,Race and Ethnicity,4
155,Music,4
156,Carson Benjamin S,4
157,Canada,4
158,Golden Globes (Awards),4
159,Historic Buildings and Sites,4
160,Whites,4
161,Factories and Manufacturing,4
162,Concussions,4
163,Transit Systems,4
164,Consumer Protection,4
165,Conway Kellyanne,4
166,Civil Rights Movement (1954-68),4
167,English Language,4
168,Green Bay Packers,4
169,Amnesties Commutations and Pardons,4
170,Gender,3
171,Smoking and Tobacco,3
172,Johnson Lyndon Baines,3
173,Food,3
174,Pain,3
175,Addiction (Psychology),3
176,Reagan Ronald Wilson,3
177,Lunar New Year,3
178,Liberalism (US Politics),3
179,Baseball Hall of Fame,3
180,Flynn Michael T,3
181,Academy Awards (Oscars),3
182,Stocks and Bonds,3
183,Police Department (NYC),3
184,Turkey,3
185,Africa,3
186,Kennedy International Airport (Queens NY),3
187,Clemson University,3
188,Streep Meryl,3
189,Student Loans,3
190,Prisons and Prisoners,3
191,Torture,3
192,Yates Sally Q (1960- ),3
193,Mattis James N,3
194,Office of Government Ethics,3
195,Manning Chelsea,3
196,Peanuts,3
197,Men and Boys,3
198,Federal Bureau of Investigation,3
199,Scalia Antonin,3
200,Germany,3
201,Conservatism (US Politics),3
202,War Crimes Genocide and Crimes Against Humanity,3
203,France,3
204,Border Barriers,3
205,Meat,3
206,Disabilities,3
207,Pence Mike,3
208,Philippines,3
209,Democratic National Committee,3
210,Charter Schools,3
211,Education Department (US),3
212,Rural Areas,3
213,Doping (Sports),3
214,Shutdowns (Institutional),3
215,Advertising and Marketing,3
216,Running,3
217,Economics (Theory and Philosophy),3
218,Federal Taxes (US),3
219,Amazon.com Inc,3
220,King Martin Luther Jr,3
221,McConnell Mitch,3
222,Physical Therapy,3
223,Workplace Environment,3
224,North American Free Trade Agreement,3
225,Rodgers Aaron,3
226,Recipes,3
227,Computer Security,3
228,Homeless Persons,3
229,Oklahoma,3
230,Cancer,3
231,Brooklyn (NYC),3
232,Jackson Phil (1945- ),3
233,Merkel Angela,3
234,Kushner Jared,3
235,Lewis John R,3
236,Carrier Corp,3
237,Obesity,3
238,Elections Mayors,3
239,India,3
240,Bars and Nightclubs,3
241,Sex Crimes,3
242,Teenagers and Adolescence,3
243,Architecture,3
244,University of Alabama,3
245,Environmental Protection Agency,3
246,Renting and Leasing (Real Estate),3
247,Asthma,3
248,CNN,3
249,Spicer Sean M (1971- ),3
250,State Department,3
251,For-Profit Schools,3
252,Sugar,3
253,State Legislatures,3
254,Reality Television,3
255,Magnum Photos,3
256,E-Mail,3
257,Medicine and Health,3
258,International Federation of Association Football (FIFA),3
259,Sports Injuries,3
260,Trans-Pacific Partnership,3
261,Public Theater,3
262,Harlem (Manhattan NY),3
263,Michigan,3
264,Homeland (TV Program),3
265,Indian Point Nuclear Power Plant (NY),3
266,New England Patriots,3
267,Traffic Accidents and Safety,3
268,Medicare,3
269,Documentary Films and Programs,3
270,Vietnam,3
271,Central Intelligence Agency,3
272,Longevity,3
273,Istanbul (Turkey),3
274,Poverty,3
275,Urban Areas,3
276,Political Prisoners,3
277,Christians and Christianity,3
278,Air Pollution,3
279,Europe,3
280,Online Advertising,3
281,Sexual Harassment,3
282,Super Bowl,3
283,Anxiety and Stress,3
284,Greenhouse Gas Emissions,3
285,Libraries and Librarians,3
286,Bush George W,3
287,Oil (Petroleum) and Gasoline,2
288,Campaign Finance,2
289,Madagascar,2
290,Pompeo Mike,2
291,Arkansas,2
292,Chronic Traumatic Encephalopathy,2
293,Rivers,2
294,Trump Barron (2006- ),2
295,Volkswagen AG,2
296,Breitbart News Network LLC,2
297,Assad Bashar al-,2
298,Sleep,2
299,Gun Control,2
300,Silicon Valley (Calif),2
301,First Ladies (US),2
302,National Debt (US),2
303,Metropolitan Museum of Art,2
304,Babies and Infants,2
305,Land Use Policies,2
306,Microsoft Corp,2
307,Nuclear Energy,2
308,Holder Eric H Jr,2
309,Foreign Workers,2
310,Weight,2
311,NIKE Inc,2
312,Baquet Dean,2
313,Third World and Developing Countries,2
314,Prostate Cancer,2
315,Cheating,2
316,Communist Party of China,2
317,Steele Christopher (1964- ),2
318,Washington (State),2
319,Affleck Casey,2
320,Weather,2
321,Fast Food Industry,2
322,Capital Punishment,2
323,Fences (Movie),2
324,Saban Nick,2
325,Infantino Gianni,2
326,National Geographic,2
327,Snowden Edward J,2
328,Manchester by the Sea (Movie),2
329,Garland Merrick B,2
330,Stations and Terminals (Passenger),2
331,Fuel Emissions (Transportation),2
332,Police Department (Chicago Ill),2
333,Artificial Intelligence,2
334,Palestinians,2
335,Insomnia,2
336,Animated Films,2
337,Agriculture Department,2
338,Value-Added Tax,2
339,Assange Julian P,2
340,Federal Budget (US),2
341,Iraq,2
342,Celebrities,2
