"keywords.x","articles","words","words per article","comments","comments per articles"
"(((Semitism))): Being Jewish in America in the Age of Trump (Book)",1,1306,1306,63,63
"#MeToo Movement",17,22401,1317.70588235294,5042,296.588235294118
"1984 (Book)",2,2517,1258.5,166,83
"2 Dope Queens (Radio Program)",1,1597,1597,6,6
"23andMe",1,690,690,28,28
"401(k) 403(b) and 457 Plans",2,2487,1243.5,572,286
"59E59 Theaters",2,1366,683,4,2
"60 Minutes (TV Program)",6,5734,955.666666666667,3054,509
"600 Highwaymen",1,575,575,1,1
"7 Days in Entebbe (Movie)",1,1347,1347,2,2
"A Chef's Life (TV Program)",1,1928,1928,130,130
"A Cure for Wellness (Movie)",1,804,804,29,29
"A Higher Loyalty: Truth Lies and Leadership (Book)",1,931,931,89,89
"A Long Way From Home (Book)",1,313,313,2,2
"A Man of Good Hope (Play)",1,626,626,8,8
"A Meatloaf in Every Oven (Book)",1,1268,1268,92,92
"A United Kingdom (Movie)",1,606,606,9,9
"A Wrinkle in Time (Movie)",2,2909,1454.5,287,143.5
"Abadi Haider al-",1,1123,1123,7,7
"Abbas Mahmoud",2,2021,1010.5,381,190.5
"Abbott Gregory W (1957- )",1,827,827,36,36
"ABC Inc",3,4461,1487,1393,464.333333333333
"ABC Kitchen (Manhattan NY Restaurant)",1,542,542,15,15
"Abdullah II King of Jordan",1,819,819,246,246
"Abdullah Turki bin",1,3159,3159,384,384
"Abe Akie",1,1219,1219,10,10
"Abe Shinzo",4,3807,951.75,488,122
"Abloh Virgil",1,1272,1272,20,20
"Aborigines",1,1077,1077,72,72
"Abortion",18,19623,1090.16666666667,7948,441.555555555556
"Abou Zeid Mahmoud (1987- )",1,880,880,1,1
"Abraham F Murray",1,974,974,3,3
"Abramovich Roman A",1,1153,1153,115,115
"Abrams Elliott",1,1461,1461,935,935
"Abramson Jill",1,1175,1175,110,110
"Abrons Arts Center",1,488,488,1,1
"Abstinence (Sexual)",1,695,695,453,453
"Abu Ghraib (Iraq)",1,2096,2096,310,310
"Abuse of the Disabled",1,1488,1488,108,108
"Academic Freedom",3,2795,931.666666666667,1271,423.666666666667
"Academy Awards (Oscars)",20,21879,1093.95,5085,254.25
"Academy of Management Journal",1,889,889,168,168
"Academy of Motion Picture Arts and Sciences",2,2660,1330,1470,735
"Accidents and Safety",8,11439,1429.875,1340,167.5
"Accreditation",1,961,961,56,56
"Acid Rain",1,1171,1171,24,24
"Acosta R Alexander",1,1460,1460,2491,2491
"Acquired Immune Deficiency Syndrome",2,1256,628,124,62
"Acrobats and Acrobatics",1,1452,1452,65,65
"Acrostic Puzzles",8,2339,292.375,139,17.375
"Actors and Actresses",8,14503,1812.875,2056,257
"Acupuncture",1,231,231,17,17
"Adams Abigail",1,889,889,382,382
"Adams Chante",1,981,981,14,14
"Adams Eric L",1,1109,1109,239,239
"Adams John (1735-1826)",1,749,749,502,502
"Addario Lynsey",1,1958,1958,8,8
"Addiction (Psychology)",9,9831,1092.33333333333,1282,142.444444444444
"Addis Ababa (Ethiopia)",1,1974,1974,2,2
"Adelaide (Australia)",1,857,857,6,6
"Adele (Singer)",1,1744,1744,65,65
