"byline","articles","words","words per article","comments","comments per articles","recommendations"
"By A. O. SCOTT",8,5428,678.5,297,37.125,2203
"By A.O. SCOTT",1,880,880,143,143,1526
"By AARON E. CARROLL",6,6016,1002.66666666667,990,165,9550
"By AARON E. CARROLL and AUSTIN FRAKT",1,957,957,175,175,2847
"By AARON HANLON",1,1081,1081,405,405,8801
"By ABBY ELLIN",3,3446,1148.66666666667,354,118,6633
"By ABBY GOODNOUGH and ROBERT PEAR",1,3361,3361,267,267,4265
"By ABIGAIL BEREOLA",1,161,161,3,3,29
"By ABIGAIL DEUTSCH",1,903,903,19,19,93
"By ADAM BAIDAWI",1,1278,1278,81,81,2107
"By ADAM GOLDMAN",2,2789,1394.5,234,117,2067
"By ADAM GOLDMAN, ERIC LICHTBLAU and MATT APUZZO",1,1124,1124,1740,1740,43177
"By ADAM LIPTAK",4,5027,1256.75,4404,1101,99702
"By ADAM LOFTEN and EMMANUEL VAUGHAN-LEE",1,403,403,28,28,131
"By ADAM NAGOURNEY",2,1696,848,647,323.5,8940
"By ADAM NAGOURNEY and JOSE A. DEL REAL",1,1161,1161,20,20,217
"By ADAM NAGOURNEY and JULIE TURKEWITZ",1,838,838,19,19,61
"By ADAM NAGOURNEY and MATT STEVENS",1,1173,1173,44,44,268
"By ADAM NAGOURNEY and THOMAS FULLER",2,1898,949,46,23,188
"By ADAM NAGOURNEY and TIM ARANGO",1,1592,1592,17,17,104
"By ADAM NOSSITER",5,6187,1237.4,731,146.2,11146
"By ADAM POPESCU",2,2080,1040,46,23,247
"By ADAM SHATZ",1,1619,1619,253,253,2908
"By AFUA COOPER",1,1362,1362,13,13,117
"By AILEEN JACOBSON",1,1598,1598,38,38,415
"By AL BAKER",1,865,865,25,25,233
"By ALAN BLINDER",1,482,482,234,234,3457
"By ALAN BLINDER and NICOLE PERLROTH",1,1439,1439,206,206,3333
"By ALAN BLINDER, JESS BIDGOOD and VIVIAN WANG",1,1131,1131,178,178,2942
"By ALAN GOLDFARB",1,87,87,1,1,4
"By ALAN LIGHT",1,1726,1726,289,289,5541
"By ALAN MAGILL",1,128,128,11,11,146
"By ALAN RAPPEPORT",3,3386,1128.66666666667,1243,414.333333333333,34766
"By ALAN RAPPEPORT and CECILIA KANG",1,589,589,34,34,264
"By ALAN RAPPEPORT and ERIC LICHTBLAU",1,641,641,926,926,20017
"By ALAN RAPPEPORT and JIM TANKERSLEY",1,1104,1104,53,53,261
"By ALAN RAPPEPORT, MILAN SCHREUER, JIM TANKERSLEY and NATASHA SINGER",1,1515,1515,39,39,374
"By ALAN TONELSON",1,789,789,333,333,3088
"By ALAN WONG",1,1056,1056,17,17,27
"By ALBERT SUN",1,1154,1154,27,27,102
"By ALEC MacGILLIS",1,1285,1285,654,654,7086
"By ALEC SCHIERENBECK",1,769,769,707,707,7461
"By ALEX HAWGOOD",1,378,378,7,7,114
"By ALEX MARKOVICH",1,135,135,14,14,76
"By ALEX VADUKUL",1,2726,2726,338,338,7829
"By ALEX WAGNER",1,974,974,306,306,3403
"By ALEX WILLIAMS",2,2501,1250.5,206,103,3659
"By ALEXANDER BARKOFF",1,174,174,11,11,60
"By ALEXANDER BURNS",2,2354,1177,47,23.5,320
"By ALEXANDER BURNS and JONATHAN MARTIN",3,4789,1596.33333333333,2000,666.666666666667,47361
"By ALEXANDER BURNS and JULIE TURKEWITZ",1,1548,1548,385,385,7864
"By ALEXANDER BURNS and MITCH SMITH",1,1629,1629,1223,1223,25704
"By ALEXANDER GEORGE",1,1084,1084,413,413,7126
"By ALEXANDER LAHL and VOLKER SCHLECHT",1,430,430,19,19,50
"By ALEXANDRA ALTER",1,1562,1562,25,25,338
"By ALEXANDRA HOROWITZ",1,916,916,319,319,3811
"By ALEXANDRA S. LEVINE",31,37982,1225.22580645161,466,15.0322580645161,3098
"By ALEXANDRA S. LEVINE and AMY ZERBA",1,1214,1214,15,15,84
"By ALEXANDRA S. LEVINE and ANDY NEWMAN",1,988,988,49,49,232
"By ALEXANDRA S. LEVINE and JONATHAN WOLFE",2,2112,1056,18,9,98
"By ALEXANDRA STEVENSON and MATT PHILLIPS",1,887,887,221,221,5430
"By ALEXIS COE",1,910,910,28,28,138
"By ALEXIS SOLOSKI",11,7866,715.090909090909,50,4.54545454545455,95
"By ALICE CALLAHAN",4,2221,555.25,289,72.25,2025
"By ALICE SWERSEY",1,168,168,12,12,122
"By ALISSA J. RUBIN",3,3910,1303.33333333333,512,170.666666666667,7474
"By ALLAN HOLMES",1,1340,1340,45,45,325
"By ALLEN HIRSCH",1,775,775,72,72,991
"By ALLISON ARIEFF",1,1306,1306,28,28,283
"By AMANDA DUARTE",2,2798,1399,13,6.5,58
"By AMANDA HESS",3,8759,2919.66666666667,438,146,6488
"By AMANDA TAUB",1,1725,1725,379,379,7302
"By AMBER BATURA",1,1540,1540,109,109,1430
"By AMISHA PADNANI",1,713,713,126,126,465
"By AMITHA KALAICHANDRAN, M.D., SUNITA VOHRA, M.D. and ROGER ZEMEK, M.D",1,927,927,83,83,648
"By AMY CHOZICK",1,818,818,37,37,562
"By AMY KROUSE ROSENTHAL",1,1350,1350,1421,1421,27743
"By AMY McQUIRE and LIZZIE O'SHEA",1,1077,1077,72,72,342
"By AMY ZERBA and JONATHAN  WOLFE",1,1185,1185,30,30,128
"By ANA MARIE COX",1,657,657,25,25,608
"By ANA SWANSON",7,7721,1103,3448,492.571428571429,58994
"By ANA SWANSON and JIM TANKERSLEY",1,1110,1110,134,134,3123
"By ANA SWANSON, MARK LANDLER and MAGGIE HABERMAN",1,1458,1458,248,248,3767
"By ANA VANESSA HERRERO",1,365,365,2,2,2
"By ANA VANESSA HERRERO and NICHOLAS CASEY",1,1521,1521,30,30,152
"By ANAHAD O'CONNOR",2,2906,1453,160,80,1132
"By ANDREI CIMPIAN and SARAH-JANE LESLIE",1,951,951,183,183,1860
"By ANDREW BORYGA",1,576,576,3,3,2
