state,count
Vermont,640
Georgia,369
Iowa,399
Kansas,244
Florida,2330
Virginia,1326
North Carolina,785
Hawaii,193
New York,7488
California,3860
Alabama,159
Idaho,302
Delaware,151
Alaska,137
Illinois,573
South Dakota,10
Connecticut,778
Nebraska,63
Massachusetts,1599
New Hampshire,411
Maryland,1313
New Mexico,310
Mississippi,76
Tennessee,603
Colorado,1451
New Jersey,2415
Utah,108
Michigan,1134
West Virginia,22
Washington,486
Minnesota,490
Oregon,888
State,count
Wyoming,67
Ohio,797
South Carolina,156
Indiana,405
Nevada,123
Louisiana,367
Arizona,606
Wisconsin,651
North Dakota,45
Pennsylvania,932
Oklahoma,219
Kentucky,133
Rhode Island,233
Montana,214
Arkansas,45
Missouri,162
Texas,1905
Maine,825
