state,count
Vermont,534
Georgia,411
Iowa,443
Kansas,204
Florida,2403
Virginia,1402
North Carolina,872
Hawaii,153
New York,7843
California,3834
Alabama,219
Idaho,202
Delaware,135
Alaska,117
Illinois,718
South Dakota,18
Connecticut,748
Nebraska,61
Massachusetts,1344
New Hampshire,398
Maryland,1126
New Mexico,313
Mississippi,68
Tennessee,465
Colorado,1710
New Jersey,2408
Utah,90
Michigan,1009
West Virginia,18
Washington,702
Minnesota,532
Oregon,739
State,count
Wyoming,60
Ohio,922
South Carolina,203
Indiana,405
Nevada,124
Louisiana,299
Arizona,501
Wisconsin,571
North Dakota,34
Pennsylvania,1029
Oklahoma,218
Kentucky,115
Rhode Island,136
Montana,169
Arkansas,242
Missouri,155
Texas,1793
Maine,761
