state,count
Vermont,811
Georgia,421
Iowa,488
Kansas,261
Florida,2280
Virginia,1286
North Carolina,760
Hawaii,187
New York,7974
California,4676
Alabama,130
Idaho,243
Delaware,131
Alaska,152
Illinois,743
South Dakota,18
Connecticut,852
Nebraska,51
Massachusetts,1809
New Hampshire,487
Maryland,1315
New Mexico,319
Mississippi,143
Tennessee,695
Colorado,1545
New Jersey,2608
Utah,138
Michigan,1257
West Virginia,15
Washington,548
Minnesota,558
Oregon,1026
State,count
Wyoming,66
Ohio,955
South Carolina,153
Indiana,404
Nevada,136
Louisiana,348
Arizona,579
Wisconsin,781
North Dakota,63
Pennsylvania,1020
Oklahoma,228
Kentucky,138
Rhode Island,180
Montana,192
Arkansas,74
Missouri,122
Texas,2322
Maine,923
