Vermont,684
Georgia,504
Iowa,535
Kansas,251
Florida,2497
Virginia,1399
North Carolina,728
Hawaii,194
New York,8955
California,4604
Alabama,221
Idaho,357
Delaware,141
Alaska,100
Illinois,657
South Dakota,41
Connecticut,840
Nebraska,59
Massachusetts,1582
New Hampshire,587
Maryland,1470
New Mexico,332
Mississippi,99
Tennessee,630
Colorado,1787
New Jersey,2347
Utah,115
Michigan,1250
West Virginia,35
Washington,572
Minnesota,540
Oregon,1020
State,count
Wyoming,70
Ohio,986
South Carolina,153
Indiana,437
Nevada,144
Louisiana,274
Arizona,697
Wisconsin,641
North Dakota,41
Pennsylvania,909
Oklahoma,140
Kentucky,165
Rhode Island,188
Montana,217
Arkansas,93
Missouri,213
Texas,2296
Maine,872
