state,count
Vermont,1813
Georgia,1222
Iowa,1488
Kansas,622
Florida,6835
Virginia,3958
North Carolina,2330
Hawaii,527
New York,22342
California,12206
Alabama,506
Idaho,730
Delaware,412
Alaska,450
Illinois,1773
South Dakota,55
Connecticut,2250
Nebraska,164
Massachusetts,4335
New Hampshire,1371
Maryland,3343
New Mexico,889
Mississippi,279
Tennessee,1602
Colorado,4272
New Jersey,6845
Utah,350
Michigan,3315
West Virginia,62
Washington,1735
Minnesota,1501
Oregon,2786
State,count
Wyoming,157
Ohio,2673
South Carolina,596
Indiana,1273
Nevada,479
Louisiana,1046
Arizona,1707
Wisconsin,1816
North Dakota,131
Pennsylvania,2842
Oklahoma,576
Kentucky,456
Rhode Island,545
Montana,702
Arkansas,382
Missouri,488
Texas,5232
Maine,2393
